review,sentiment,total_words,total_chars,sequence,padded
even woman finally show up sign improvement expected thing happen time film over might far asleep,0,16,97,"[19, 975, 432, 123, 181, 833, 1501, 435, 31, 1447, 8, 5, 462, 562, 90, 1502]","[  19  975  432  123  181  833 1501  435   31 1447    8    5  462  562
   90 1502]"
beware trashy cult movie trash period,0,6,37,"[1062, 2539, 639, 2, 654, 579]","[1062 2539  639    2  654  579    0    0    0    0    0    0    0    0
    0    0]"
can t believe there even sequel this,0,7,36,"[106, 74, 300, 115, 19, 2540, 111]","[ 106   74  300  115   19 2540  111    0    0    0    0    0    0    0
    0    0]"
precisely giving bad review,0,4,27,"[2541, 1063, 15, 258]","[2541 1063   15  258    0    0    0    0    0    0    0    0    0    0
    0    0]"
child truly enjoyed show proudly say enjoyed big time even classical wb cartoon,1,13,79,"[414, 304, 214, 123, 2542, 55, 214, 151, 8, 19, 2543, 2544, 834]","[ 414  304  214  123 2542   55  214  151    8   19 2543 2544  834    0
    0    0]"
tiny toon kept vibe delivered one popular funny underrated cartoon ever created,1,12,79,"[1064, 2545, 345, 835, 2546, 6, 1394, 177, 2547, 834, 20, 811]","[1064 2545  345  835 2546    6 1394  177 2547  834   20  811    0    0
    0    0]"
memory murky say enjoyed every single episode product related show,1,10,66,"[656, 2548, 55, 214, 70, 457, 755, 30, 2549, 123]","[ 656 2548   55  214   70  457  755   30 2549  123    0    0    0    0
    0    0]"
easily none cartoon made laugh tender way before getting dark sitcom oriented teenager,1,13,86,"[321, 385, 834, 28, 1017, 436, 43, 555, 280, 1065, 2550, 2551, 2552]","[ 321  385  834   28 1017  436   43  555  280 1065 2550 2551 2552    0
    0    0]"
character funny peculiarity true lead character,1,6,47,"[39, 177, 2553, 742, 641, 39]","[  39  177 2553  742  641   39    0    0    0    0    0    0    0    0
    0    0]"
every single character hilarious deserved called lead,1,7,53,"[70, 457, 39, 734, 2554, 783, 641]","[  70  457   39  734 2554  783  641    0    0    0    0    0    0    0
    0    0]"
every element story top excessively phony contrived painful sit through,0,10,71,"[70, 1503, 98, 316, 2555, 2556, 2557, 1066, 1504, 2558]","[  70 1503   98  316 2555 2556 2557 1066 1504 2558    0    0    0    0
    0    0]"
perabo nice energy level obviously comfortable front camera,1,8,59,"[2559, 32, 749, 542, 460, 142, 463, 164]","[2559   32  749  542  460  142  463  164    0    0    0    0    0    0
    0    0]"
simply excuse something poorly done,0,5,35,"[203, 809, 362, 667, 208]",[203 809 362 667 208   0   0   0   0   0   0   0   0   0   0   0]
saw movie thought stupid movie,0,5,30,"[257, 2, 128, 206, 2]",[257   2 128 206   2   0   0   0   0   0   0   0   0   0   0   0]
even stupid thought idea volcano los angeles,0,7,44,"[19, 206, 128, 661, 1505, 1067, 1068]","[  19  206  128  661 1505 1067 1068    0    0    0    0    0    0    0
    0    0]"
honest you unbelievable nonsense foolish,0,5,40,"[836, 217, 668, 1069, 2560]","[ 836  217  668 1069 2560    0    0    0    0    0    0    0    0    0
    0    0]"
conclusion bother movie volcano los angeles nothing nonsense,0,8,60,"[821, 585, 2, 1505, 1067, 1068, 95, 1069]","[ 821  585    2 1505 1067 1068   95 1069    0    0    0    0    0    0
    0    0]"
story line awful,0,3,16,"[98, 130, 137]",[ 98 130 137   0   0   0   0   0   0   0   0   0   0   0   0   0]
painful,0,1,7,[1066],"[1066    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
accent absolutely abysmal,0,3,25,"[2561, 131, 1506]","[2561  131 1506    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
there also enough hypocrisy film make vomit,0,7,43,"[115, 23, 61, 2562, 5, 29, 1507]","[ 115   23   61 2562    5   29 1507    0    0    0    0    0    0    0
    0    0]"
waste time watching rubbish non researched film,0,7,47,"[84, 8, 152, 2563, 630, 2564, 5]","[  84    8  152 2563  630 2564    5    0    0    0    0    0    0    0
    0    0]"
believe pitch black done well,1,5,29,"[300, 2565, 222, 208, 16]","[ 300 2565  222  208   16    0    0    0    0    0    0    0    0    0
    0    0]"
character interesting want find longer movie go on think people surprised make it,1,13,81,"[39, 241, 94, 148, 586, 2, 21, 301, 45, 68, 1070, 29, 7]","[  39  241   94  148  586    2   21  301   45   68 1070   29    7    0
    0    0]"
go watch it,1,3,11,"[21, 160, 7]",[ 21 160   7   0   0   0   0   0   0   0   0   0   0   0   0   0]
omit watching this,0,3,18,"[2566, 152, 111]","[2566  152  111    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
character interesting really care them,1,5,38,"[39, 241, 13, 380, 332]",[ 39 241  13 380 332   0   0   0   0   0   0   0   0   0   0   0]
instant classic great soundtrack catchy song ending credit,1,8,58,"[2567, 418, 3, 653, 2568, 454, 379, 829]","[2567  418    3  653 2568  454  379  829    0    0    0    0    0    0
    0    0]"
miss it,1,2,7,"[1508, 7]","[1508    7    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
continuously beautiful look bertolucci relationship convincing narrative engaging master work,1,10,93,"[2569, 189, 48, 2570, 800, 746, 995, 1509, 1071, 14]","[2569  189   48 2570  800  746  995 1509 1071   14    0    0    0    0
    0    0]"
basic premise wasted since sidelined inexplicable focus documentary crew,0,9,72,"[1510, 979, 359, 149, 2571, 2572, 2573, 665, 2574]","[1510  979  359  149 2571 2572 2573  665 2574    0    0    0    0    0
    0    0]"
regardless film fails level,0,4,27,"[2575, 5, 425, 542]","[2575    5  425  542    0    0    0    0    0    0    0    0    0    0
    0    0]"
avoid cost,0,2,10,"[225, 412]",[225 412   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
saw film christmas great film wa,1,6,32,"[257, 5, 837, 3, 5, 497]",[257   5 837   3   5 497   0   0   0   0   0   0   0   0   0   0]
thought errol flynn brilliant custer since become favourite actor,1,9,65,"[128, 1511, 1512, 472, 2576, 149, 575, 1010, 121]","[ 128 1511 1512  472 2576  149  575 1010  121    0    0    0    0    0
    0    0]"
acting alongside olivia de havilland brilliant ending fantastic,1,8,63,"[57, 2577, 2578, 1371, 2579, 472, 379, 167]","[  57 2577 2578 1371 2579  472  379  167    0    0    0    0    0    0
    0    0]"
always known errol flynn brilliant actor dad favourite actor grew watching film child,1,13,85,"[125, 1072, 1511, 1512, 472, 121, 2580, 1010, 121, 2581, 152, 5, 414]","[ 125 1072 1511 1512  472  121 2580 1010  121 2581  152    5  414    0
    0    0]"
watched film realised great actually wa,1,6,39,"[331, 5, 2582, 3, 205, 497]","[ 331    5 2582    3  205  497    0    0    0    0    0    0    0    0
    0    0]"
give film,1,2,9,"[107, 5]",[107   5   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
know jim o connor energetic nobody could much him george well dull,0,12,66,"[76, 2583, 1073, 2584, 2585, 960, 37, 33, 645, 2586, 16, 1513]","[  76 2583 1073 2584 2585  960   37   33  645 2586   16 1513    0    0
    0    0]"
really seem want hosting voice over monotonous get involved guest,0,10,65,"[13, 1074, 94, 2587, 326, 462, 2588, 25, 1033, 1075]","[  13 1074   94 2587  326  462 2588   25 1033 1075    0    0    0    0
    0    0]"
nevertheless yet another wonderful film great master stable,1,8,59,"[2589, 377, 136, 110, 5, 3, 1071, 2590]","[2589  377  136  110    5    3 1071 2590    0    0    0    0    0    0
    0    0]"
say film excellently produced top rating typical sci fi film,1,10,60,"[55, 5, 1514, 1515, 316, 474, 1516, 1517, 1076, 5]","[  55    5 1514 1515  316  474 1516 1517 1076    5    0    0    0    0
    0    0]"
excellently produced one sci fi best producer scot vandiver,1,9,59,"[1514, 1515, 6, 1517, 1076, 18, 1419, 2591, 2592]","[1514 1515    6 1517 1076   18 1419 2591 2592    0    0    0    0    0
    0    0]"
entertaining nonetheless,1,2,24,"[793, 2593]","[ 793 2593    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
campy sort film that joy watch,1,6,30,"[2594, 1046, 5, 82, 635, 160]","[2594 1046    5   82  635  160    0    0    0    0    0    0    0    0
    0    0]"
there barely boring moment film plenty humorous part,1,8,52,"[115, 333, 329, 957, 5, 1029, 1440, 135]","[ 115  333  329  957    5 1029 1440  135    0    0    0    0    0    0
    0    0]"
cast always entertaining usual,1,4,30,"[190, 125, 793, 780]",[190 125 793 780   0   0   0   0   0   0   0   0   0   0   0   0]
overall delight,1,2,15,"[159, 587]",[159 587   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
movie mind bendingly awful even created,0,6,39,"[2, 409, 2595, 137, 19, 811]","[   2  409 2595  137   19  811    0    0    0    0    0    0    0    0
    0    0]"
least said acting better,0,4,24,"[262, 219, 57, 36]",[262 219  57  36   0   0   0   0   0   0   0   0   0   0   0   0]
movie excellent job revealing complexity task incredible challenge facing south africa,1,11,86,"[2, 34, 138, 1518, 2596, 2597, 273, 2598, 2599, 1519, 1520]","[   2   34  138 1518 2596 2597  273 2598 2599 1519 1520    0    0    0
    0    0]"
believe every one see movie think people outside south africa understand past attempted truth reconciliation process,1,16,116,"[300, 70, 6, 50, 2, 45, 68, 507, 1519, 1520, 303, 1060, 2600, 2601, 2602, 1521]","[ 300   70    6   50    2   45   68  507 1519 1520  303 1060 2600 2601
 2602 1521]"
nothing short magnificent photography cinematography film,1,6,57,"[95, 238, 2603, 1522, 361, 5]","[  95  238 2603 1522  361    5    0    0    0    0    0    0    0    0
    0    0]"
acting fantastic story seamlessly woven together dog splendid must rent view see,1,12,80,"[57, 167, 98, 1523, 2604, 411, 838, 2605, 155, 557, 1443, 50]","[  57  167   98 1523 2604  411  838 2605  155  557 1443   50    0    0
    0    0]"
afraid subtitle worth little aversion therapy,1,6,45,"[1293, 2606, 93, 63, 2607, 2608]","[1293 2606   93   63 2607 2608    0    0    0    0    0    0    0    0
    0    0]"
excellent performance,1,2,21,"[34, 178]",[ 34 178   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
still good actor around,1,4,23,"[56, 1, 121, 166]",[ 56   1 121 166   0   0   0   0   0   0   0   0   0   0   0   0]
also great directing photography,1,4,32,"[23, 3, 406, 1522]","[  23    3  406 1522    0    0    0    0    0    0    0    0    0    0
    0    0]"
true shakespear must shakespear fan,1,5,35,"[742, 1524, 155, 1524, 378]","[ 742 1524  155 1524  378    0    0    0    0    0    0    0    0    0
    0    0]"
helen baxendale credible lady macbeth cheerfull time sometimes look like naughty girl deadly taste blood evil,1,16,109,"[2609, 2610, 2611, 669, 2612, 2613, 8, 636, 48, 11, 2614, 365, 2615, 226, 1325, 1525]","[2609 2610 2611  669 2612 2613    8  636   48   11 2614  365 2615  226
 1325 1525]"
love death decay shakespears lyric one,1,6,38,"[26, 817, 2616, 2617, 2618, 6]","[  26  817 2616 2617 2618    6    0    0    0    0    0    0    0    0
    0    0]"
witty delightful adaptation dr seuss book brilliantly animated upa finest thoroughly deserving academy award,1,14,108,"[1353, 1077, 2619, 2620, 2621, 465, 2622, 2623, 2624, 2625, 787, 1479, 2626, 1478]","[1353 1077 2619 2620 2621  465 2622 2623 2624 2625  787 1479 2626 1478
    0    0]"
special mention made superb music score sound effect integral element helping make memorable enjoyable cartoon,1,15,110,"[223, 824, 28, 500, 175, 1038, 35, 263, 2627, 1503, 2628, 29, 794, 1051, 834]","[ 223  824   28  500  175 1038   35  263 2627 1503 2628   29  794 1051
  834    0]"
however paul schrader indeed made film about mishima superb complex,1,10,67,"[161, 1487, 1335, 1078, 28, 5, 1266, 1330, 500, 1347]","[ 161 1487 1335 1078   28    5 1266 1330  500 1347    0    0    0    0
    0    0]"
even allowing poor production value time format some kind mini series baaaaaad,0,12,78,"[19, 1526, 101, 922, 339, 8, 2629, 2630, 204, 1079, 323, 2631]","[  19 1526  101  922  339    8 2629 2630  204 1079  323 2631    0    0
    0    0]"
unless visually collect extant film austen work skip one,0,9,56,"[508, 1355, 2632, 2633, 5, 2634, 14, 1527, 6]","[ 508 1355 2632 2633    5 2634   14 1527    6    0    0    0    0    0
    0    0]"
watch it however small consolation actress playing anne sister wonderful job role,1,12,81,"[160, 7, 161, 182, 2635, 563, 473, 938, 739, 110, 138, 577]","[ 160    7  161  182 2635  563  473  938  739  110  138  577    0    0
    0    0]"
good,0,1,4,[1],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
speaking music unbearably predictably kitchy,0,5,44,"[2636, 175, 2637, 1310, 2638]","[2636  175 2637 1310 2638    0    0    0    0    0    0    0    0    0
    0    0]"
film dropped ball,0,3,17,"[5, 386, 986]",[  5 386 986   0   0   0   0   0   0   0   0   0   0   0   0   0]
stunning movie,1,2,14,"[997, 2]",[997   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
raw sublimely moving,1,3,20,"[2639, 2640, 611]","[2639 2640  611    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
main player mesmerising,1,3,23,"[615, 430, 2641]","[ 615  430 2641    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
julian fellowes triumphed again,1,4,31,"[2642, 2643, 2644, 69]","[2642 2643 2644   69    0    0    0    0    0    0    0    0    0    0
    0    0]"
national treasure,1,2,17,"[2645, 2646]","[2645 2646    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
go see it,1,3,9,"[21, 50, 7]",[21 50  7  0  0  0  0  0  0  0  0  0  0  0  0  0]
excellent film,1,2,14,"[34, 5]",[34  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
aerial scene well done,1,4,22,"[2647, 78, 16, 208]","[2647   78   16  208    0    0    0    0    0    0    0    0    0    0
    0    0]"
also right balance war love,1,5,27,"[23, 64, 1061, 2648, 26]","[  23   64 1061 2648   26    0    0    0    0    0    0    0    0    0
    0    0]"
film give meaning phrase never history human conflict much owed many few,1,12,72,"[5, 107, 730, 2649, 38, 617, 503, 962, 33, 2650, 117, 2651]","[   5  107  730 2649   38  617  503  962   33 2650  117 2651    0    0
    0    0]"
kris kristoffersen good movie really make difference,1,7,52,"[2652, 2653, 1, 2, 13, 29, 1528]","[2652 2653    1    2   13   29 1528    0    0    0    0    0    0    0
    0    0]"
good film great director,1,4,24,"[1, 5, 3, 265]",[  1   5   3 265   0   0   0   0   0   0   0   0   0   0   0   0]
definitely one better documentary seen looking family relationship marriage,1,9,75,"[65, 6, 36, 665, 99, 346, 193, 800, 2654]","[  65    6   36  665   99  346  193  800 2654    0    0    0    0    0
    0    0]"
great movie,1,2,11,"[3, 2]",[3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
star,1,1,4,[81],[81  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
can t see movie inspiration anyone come overcome fear rejection,0,10,63,"[106, 74, 50, 2, 2655, 129, 119, 2656, 959, 2657]","[ 106   74   50    2 2655  129  119 2656  959 2657    0    0    0    0
    0    0]"
bad actually worth seeing reason,0,5,32,"[15, 205, 93, 488, 504]",[ 15 205  93 488 504   0   0   0   0   0   0   0   0   0   0   0]
punishment park brilliant piece cinema,1,5,38,"[2658, 2659, 472, 80, 407]","[2658 2659  472   80  407    0    0    0    0    0    0    0    0    0
    0    0]"
shot southern california desert using patent faux documentary style watkins creates film like other,1,14,99,"[327, 2660, 2661, 2662, 251, 2663, 1252, 665, 433, 1529, 1436, 5, 11, 803]","[ 327 2660 2661 2662  251 2663 1252  665  433 1529 1436    5   11  803
    0    0]"
one peter watkins accessible film,1,5,33,"[6, 1530, 1529, 2664, 5]","[   6 1530 1529 2664    5    0    0    0    0    0    0    0    0    0
    0    0]"
advise look it,1,3,14,"[756, 48, 7]",[756  48   7   0   0   0   0   0   0   0   0   0   0   0   0   0]
wont regret it,1,3,14,"[1531, 936, 7]","[1531  936    7    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
highly recommended a,1,3,20,"[116, 384, 657]",[116 384 657   0   0   0   0   0   0   0   0   0   0   0   0   0]
well keep thinking bad is,0,5,25,"[16, 291, 1080, 15, 165]","[  16  291 1080   15  165    0    0    0    0    0    0    0    0    0
    0    0]"
mediocre miserable hollow laughable predictable piece garbage,0,7,61,"[387, 2665, 1532, 1081, 320, 80, 493]","[ 387 2665 1532 1081  320   80  493    0    0    0    0    0    0    0
    0    0]"
case so bad laughable,0,4,21,"[52, 556, 15, 1081]","[  52  556   15 1081    0    0    0    0    0    0    0    0    0    0
    0    0]"
bad performance play angela bennett computer expert home time,0,9,61,"[15, 178, 295, 2666, 2667, 670, 1533, 388, 8]","[  15  178  295 2666 2667  670 1533  388    8    0    0    0    0    0
    0    0]"
